"id","name","type","typeLabel","country","city","lat","lng","originPrecision","firstSeen","scope","tags","knownFor","attribution","sourceLabel"
"sentinellabs","SentinelLABS","white-hat","White Hat","United States","Mountain View","37.3861","-122.0839","City-level attribution from public reporting","2022","Global","security research; adversary tracking; malware analysis","Publishing fast-moving research on malware, exploit chains, cybercrime operations, and state-linked campaigns through an open community-focused research platform.","SentinelOne describes SentinelLABS as its open research venue and identifies Mountain View, California as the company headquarters used for this map pin.","SentinelOne / SentinelLABS"
"sidecopy","SideCopy","state-linked-theft","State-linked Theft","Pakistan","Islamabad","33.6844","73.0479","Country-level attribution pinned to capital","2019","Regional","South Asia; espionage; credential theft","Mimicking Sidewinder-style infection chains to target government and military personnel across South Asia with lures, malware loaders, and credential harvesting.","MITRE ATT&CK identifies SideCopy as a Pakistani threat group that has primarily targeted South Asian countries since at least 2019.","MITRE ATT&CK, updated Apr 2025"
"sidewinder","Sidewinder, T-APT-04, Rattlesnake","state-linked-theft","State-linked Theft","India","New Delhi","28.6139","77.209","Country-level attribution pinned to capital","2012","Regional","South Asia; espionage; military targeting","Running long-running espionage campaigns across Asia with a strong focus on military, government, and business targets in neighboring countries.","MITRE ATT&CK tracks Sidewinder as a suspected Indian threat actor group active since at least 2012.","MITRE ATT&CK, updated Apr 2024"
"silverterrier","SilverTerrier","bec-fraud","BEC / Fraud","Nigeria","Abuja","9.0765","7.3986","Country-level attribution pinned to capital","2014","Global","BEC; financial theft","Stealing money through business email compromise and malware-enabled fraud targeting education, manufacturing, and technology victims.","MITRE ATT&CK describes SilverTerrier as a Nigerian threat group active since 2014 and tied to financial-theft campaigns.","MITRE ATT&CK, updated Sep 2023"
"ta505","TA505, Cl0p, Hive0065, Spandex Tempest, CHIMBORAZO","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2014","Global","Cl0p; malspam; loader ecosystem","Driving major cybercrime spam waves and later large-scale Cl0p ransomware and extortion activity against enterprise victims worldwide.","MITRE ATT&CK tracks TA505 as a major cybercrime group; open reporting broadly describes the operation as Russian-speaking, and the atlas reflects that as a country-level Russia origin inference.","MITRE ATT&CK / public reporting"
"team-cymru","Team Cymru","white-hat","White Hat","United States","Lake Mary","28.7589","-81.3178","City-level attribution from public reporting","1998","Global","threat intel; BGP security; collective defense","Supplying widely used internet intelligence, botnet visibility, routing security expertise, and operational support to defenders and service providers.","Team Cymru's official contact and press materials place the organization in Lake Mary, Florida, which the atlas uses as its origin pin.","Team Cymru official site"
"shadowserver-foundation","The Shadowserver Foundation","white-hat","White Hat","United States","Pleasanton","37.6624","-121.8747","City-level attribution from public reporting","2004","Global","internet telemetry; sinkholing; free reporting","Providing large-scale public-benefit telemetry, daily network exposure reporting, and support for defenders, CERTs, and law enforcement worldwide.","Shadowserver's official fact sheet lists U.S. offices in California; the atlas uses Pleasanton, California from the current fact sheet as the organization origin point.","Shadowserver official fact sheet"
"tradertraitor","TraderTraitor, Jade Sleet, UNC4899","crypto-crime","Crypto Crime","North Korea","Pyongyang","39.0392","125.7625","Country-level attribution pinned to capital","2022","Global","blockchain theft; job lures; crypto firms","Targeting blockchain companies and exchanges with fake recruiting approaches, trojanized applications, and follow-on theft of private keys and digital assets.","A 2022 joint CISA, FBI, and Treasury advisory identifies TraderTraitor as North Korean state-sponsored activity used to steal cryptocurrency from blockchain organizations.","CISA / FBI / Treasury, Apr 2022"
"transparent-tribe","Transparent Tribe, APT36, Mythic Leopard, ProjectM, COPPER FIELDSTONE","state-linked-theft","State-linked Theft","Pakistan","Islamabad","33.6844","73.0479","Country-level attribution pinned to capital","2013","Regional","South Asia; espionage; defense targeting","Conducting sustained espionage activity against diplomatic, defense, and research targets in India and Afghanistan through lures and custom malware.","MITRE ATT&CK describes Transparent Tribe as a suspected Pakistan-based threat group active since at least 2013, which this atlas maps to Islamabad at country level.","MITRE ATT&CK, updated Apr 2024"
"trickbot","TrickBot Group, Trickbot operators","access-brokerage","Access Brokerage","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2016","Global","malware platform; ransomware enablement","Running a malware ecosystem used to steal money, compromise networks, and hand access to ransomware crews.","Treasury and DOJ actions in 2023 described Trickbot as a Russia-based cybercrime group with links to Russian intelligence services.","U.S. Treasury / DOJ, Sep 2023"
"turla","Turla, Snake, Venomous Bear, Secret Blizzard","state-linked-theft","State-linked Theft","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2004","Global","FSB-linked; espionage","Sustained espionage operations against governments, diplomats, journalists, and defense-related targets over roughly two decades.","MITRE ATT&CK and DOJ reporting associate Turla with Russian state activity; the map uses Russia at country level and pins to Moscow.","MITRE ATT&CK / DOJ"
"unit-42","Unit 42","white-hat","White Hat","United States","Santa Clara","37.3541","-121.9552","City-level attribution from public reporting","2014","Global","threat intelligence; incident response; consulting","Publishing influential adversary tracking, malware analysis, and incident response reporting while supporting frontline breach investigations.","Palo Alto Networks describes Unit 42 as its threat intelligence and security consulting organization; the pin uses Palo Alto Networks' Santa Clara headquarters.","Palo Alto Networks"
"vadokrist","Vadokrist","banking-theft","Banking Theft","Brazil","Brasilia","-15.7939","-47.8828","Country-level attribution pinned to capital","2018","Regional","banking trojan; Brazil-focused","Targeting Brazilian financial institutions through spam-delivered malware with backdoor functionality and shared Latin American banking-trojan tradecraft.","ESET reported Vadokrist as specifically focused on Brazil and grouped it with other regional banking-trojan operators.","ESET, Jan 2021"
"volatile-cedar","Volatile Cedar, Lebanese Cedar","hacktivist","Hacktivist","Lebanon","Beirut","33.8938","35.5018","Country-level attribution pinned to capital","2012","Global","political; web intrusion","Targeting institutions and private organizations through web compromise and politically motivated intrusion campaigns.","MITRE ATT&CK describes Volatile Cedar as a Lebanese threat group motivated by political and ideological interests.","MITRE ATT&CK, updated Apr 2025"
"wizard-spider","Wizard Spider, GOLD BLACKBURN, Grim Spider, FIN12","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2016","Global","TrickBot; Ryuk; Conti","Building the TrickBot ecosystem and running major ransomware campaigns against hospitals, enterprises, and public-sector targets.","MITRE ATT&CK tracks Wizard Spider as a Russia-based financially motivated threat group.","MITRE ATT&CK, updated Mar 2025"
